id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix,status
C-07,Coverage gaps,FinnipedPlacement vs CurriculumWeek,"Numenature and HeartWise sessions sit only in months 1,2,3,5,6,7,9,10,11. April, August and December (weeks 13–16 of each term) have weekly plans but no sessions, so 12 weekly plans per band (60 in total) show no 'This week in Heartwise/Numenature'. The brief says Numenature sits in months 1–9, but the data uses 1–3, 5–7 and 9–11.","jq on 1,440 placements: every pillar and band covers 36 slots, months=[1,2,3,5,6,7,9,10,11]; CurriculumWeek has 48 slots per band",major,"Decide on purpose that each term has 12 teaching weeks plus consolidation weeks, and label April, August and December weeks 'Term N · Consolidation'. Show a 'Review week — revisit sessions X–Y' card instead of nothing. Put the '36 = 3 terms × 12 weeks' mapping in the notes and the UI.",open
C-08,Placements / UI,FinnipedWeekPanel,"If placement or resource fetches fail, the error is swallowed and the panel shows nothing (.catch → []). If a resource has no file_url, the 'View p.N' button is simply left out with no message. Every week view downloads the whole FinnipedResource table (list 5000) only to find 2 rows.","FinnipedWeekPanel.jsx:47, :57-67 (list 5000 at :64), :121",major,Show an inline 'Couldn't load this week's sessions — retry' state. Show 'PDF not available' when there is no URL. Filter resources by resource_row_id instead of listing everything.,open
C-09,Placements / UI,DailyPlan,"When the date matches no CurriculumDay, DailyPlan falls back to week 1 of the month for that weekday. It then passes that week's number as weekInMonth, so the Finniped panel shows Week 1 sessions all month.","DailyPlan.jsx:192-197, :630-634",major,"Work out the week from the date and the term calendar, not from a CurriculumDay match. Pass term and term_week to the panel.",open
C-10,Age groups,DailyPlan age-group list,"The morning dropdown filters only on program_type, so the 5 merged duplicate tiers (69f724cc… ids) appear next to the canonical ones. Choosing one, or getting one as ageGroups[0], gives an empty plan and no Finniped sessions, because months and placements are keyed to canonical ids.","DailyPlan.jsx:107-124; AgeGroup query (14 rows: 5 canonical, 9 merged)",major,Filter status==='canonical' as CurriculumCalendar.jsx:31-34 already does.,open
C-11,Age groups,AgeGroup (evening) + CurriculumHome,"All 4 evening age groups are status 'merged', program 'morning', and point merged_into morning tiers with mismatched ages: Blossoms (30–36m) → Bright Bloomers (4–5y), Little Wonders Evening (12–18m) → Little Wonders (3–4y), Young Wanderers (18–30m) → Little Sprouts. The evening pages still use them. CurriculumHome picks between same-name tiers by heartwise_framework, not by status.",AgeGroup query; CurriculumHome.jsx:41-49,major,"Give evening tiers their own canonical status (program='evening') and clear merged_into, or map them to age-correct tiers. In CurriculumHome, prefer status==='canonical'.",open
C-12,Empty/error states,"CurriculumWeekPage, CurriculumMonth, CurriculumTier, CurriculumCalendar, DailyPlan, Evening*, Printables","Loading spinners have no error state. Promise.all(...).then() has no .catch and async loaders have no try/catch, so any failed request (for example a 429 rate limit) leaves 'Loading week…', 'Loading theme…', 'Loading tier…' and so on stuck forever. CurriculumDayPage turns errors into 'Day not found.' An empty week does not crash: it shows 'Day plans for this week are being prepared'.","CurriculumWeekPage.jsx:63-82; CurriculumMonth.jsx:47-77,101; CurriculumTier.jsx:30-59; CurriculumCalendar.jsx:30-74; DailyPlan.jsx:95-104,139-206; EveningYearOverview.jsx:28-45; EveningWeekPage.jsx:42-59; Printables.jsx:108-109; CurriculumDayPage.jsx:51-73",major,Add .catch/finally that sets loading=false plus an error message with a Retry button. Tell 'not found' apart from 'failed to load'.,fixed
C-13,Fake data,ActivityLibrary (/activities),"If the Activity fetch fails or returns empty, the page quietly shows the hard-coded SAMPLE_ACTIVITIES as if they were real (including 'Leaf Printing with Autumn Colours').","ActivityLibrary.jsx:53-81,151-157",major,"Show an error or empty state instead of sample data, and remove the SAMPLE_ACTIVITIES seed.",open
C-14,Term labelling,"Evening programme (programType.js, EveningYearOverview, EveningTermPage, DailyPlan)","Evening uses 4 terms of 13 weeks ('Four Terms · 52 Weeks', 'Term 4 · Completing & Celebrating'), which breaks the Term 1/2/3 rule. The 52 evening CurriculumWeek records carry term_number 1–4. DailyPlan works out the evening week as a calendar week from 1 January, not from the school term.","programType.js:27-62; EveningYearOverview.jsx:126,143; DailyPlan.jsx:144-146; CurriculumWeek evening rows term_number 1..4 (52 rows)",major,"Move evening onto the Sri Lankan Term 1/2/3 calendar (for example Term 1 weeks 1–13, Term 2 weeks 1–13, Term 3 weeks 1–13 plus holiday weeks). Rename 'Term 4' and derive the week from the term start date.",partly (morning uses Term N · Week k; evening still 4 terms)
C-15,Term labelling,Morning Week/Day/Calendar pages,"Morning weeks carry no term: all 480 have null term_number and term_name. The Week page shows 'Week 1–4' (week of the month), Week titles read 'January W1 · Open', the Calendar shows 'January — theme' and 'Week N' with no term, and the Day page shows none. Only the Tier and Month pages show 'Term N', as small secondary text.","CurriculumWeek jq term_number null:480; CurriculumWeekPage.jsx:101-103,108; CurriculumCalendar.jsx:136,215,231; CurriculumTier.jsx:121-127; CurriculumMonth.jsx:139",major,"Adopt one label everywhere: 'Term N · Week k' (k = 1–12 teaching weeks, 13–16 consolidation), with the month and date range as secondary text. Backfill term_number and term_week on CurriculumWeek and FinnipedPlacement.",fixed
C-16,Seasons / data,"CurriculumMonth, CurriculumWeek, CurriculumDay, CalendarTheme, Activity (non-SH records)","Season words remain in canonical content: month 69f78aae5ea32b793e9f1fad 'light spring breeze'; 69f7201a66cfacfd1a59487f 'new year season'; 69f79e1303a060d3a4f915a4 'seasonal change'; 69f79eb503a060d3a4f915d3 'Four seasonal tree drawings'; week 69f7905a9c96d96ac1f4bf43 'soft spring breeze'; days 69f848da465fa7b59b4bbc7e 'Autumn', 69f84bf8d54aee47b95c519c 'Winter Garden', 69f85c5530cde88bf13c35a6 'Spring Garden'; CalendarTheme 6a05b4813b9a85b9d9ff7f76 'every season', 6a05b4813b9a85b9d9ff7f77 'Spring terms'; Activity 69f75709c60f6b930412bf39 'Autumn Colours'.","jq regex scan (spring|summer|autumn|fall|winter|season) over months, weeks, 2,870 days, placements, resources, CalendarTheme, Activity; verb uses of 'fall' excluded",major,"Rewrite with a Term or monsoon/festival wording (for example 'Term 1 garden walk', 'Vesak', 'south-west monsoon'). Full list in notes.",open
C-17,Seasons / src,"ForestSchool, ParentThisMonth, DailyMomentCard, useDailyMomentPhoto, CanvasGeneratePanel, BulkCurriculumGeneration, generateMonthPrintablePack","The UI and generators use season language: Forest School sessions are labelled 'Spring / Summer', 'Spring / Autumn', 'Autumn / Winter'; 'Milestones for this season'; 'A quiet season'; the photo fallback picks Northern-Hemisphere meteorological seasons; the canvas prompt asks for a 'seasonal nature connection'; the bulk generator writes 'Notice seasonal changes'; the printable pack mood is 'autumn leaf'.","ForestSchool.jsx:55,70,85; ParentThisMonth.jsx:103; DailyMomentCard.jsx:28; useDailyMomentPhoto.js:73-78; CanvasGeneratePanel.jsx:145; BulkCurriculumGeneration.jsx:52; generateMonthPrintablePack/entry.ts:26",major,Replace with Term 1/2/3 or wet/dry monsoon wording. Change the photo fallback to key on term or monsoon. The Kasvunpolku 'seasons' used as an age-stage metaphor are out of curriculum scope (Low).,open
C-18,Evening data,EveningDay / EveningSession,"There are 64 duplicate EveningDay records (the same age group, week_number and day_number, 16 per group; some weeks have 5 days against a 3-day cadence). evening_session_id is empty on all 688 EveningDay records, and EveningSession (208 rows) is not read anywhere in src. age_group_name is inconsistent ('Blossoms' vs 'Blossoms Evening', 'Young Wanderers' vs 'Young Wanderers Evening').",jq on 688 EveningDay: 64 dup groups; evening_session_id empty 688/688; grep EveningSession src = 0 hits,major,"Dedupe to one row per (age, week, day_number), backfill evening_session_id or drop the field, and decide whether EveningSession should be shown or retired.",open
L-03,UI / filters,src/pages/FinnipedLibrary.jsx:70,"Choosing an age band hides every cross-band book. The filter `if (band && r.band !== band) return false` drops records with band=''. So a teacher who picks their band loses 38 published all-band books: Numenature Start Here, the Concept and Curriculum Guide, 12 Concept Books, Assessment, Maths Games, Poster Packs, Wordwise Decodable Readers, the Lighthouse Manual and Treasure Books.","Code read, line 70. Data: 38 published records have band='' and band_label 'All bands / birth–6'.",major,"Change the filter to `if (band && r.band && r.band !== band) return false`, so cross-band books stay visible (optionally in an 'All ages' group). Don't assign fake bands to genuinely cross-band books.",fixed
L-05,Data / band,FinnipedResource Bodywise + Artelier (14 published),"The band doesn't match the age in the title. The band follows the series level number rather than the age range: e.g. 'Bodywise Movement Workbook 02 Toddlers 1-2y' is little_sprouts (2–3y), 'Bodywise ... 05 Kindergarten 4-5y' is pre_primary (5–6y), and 'Artelier ... 04 Pre-KG 3-4y' is bright_bloomers (4–5y). Teachers filtering by band get content pitched a year off.","Title age range compared with band_label for published Bodywise/Artelier records. Wonderwild, Lifecraft and Forestwise are consistent.",major,"Decide whether band means series level or child age. If it means age, remap per library_ids.json published_band_title_age_mismatch.proposed_band. Note this would leave Bodywise with no pre_primary book, and tiny_roots with two levels.",fixed (14 books moved to the age band in their title; approved 2026-09-25)
L-06,Data / versions,FinnipedResource Numinature Step One (3) + Treasure Books 'Numenature 01 Student Workbook' / '02 Teacher Guide',"Older Numenature material is still published beside the 60-book Numenature v3 set. The v3 switch-over archived 94 old Numenature records but not these 5, so teachers see two different Numenature programmes.","jq: published pillar 'Numinature Step One' = 3; Treasure Books titles '^Numenature 0' = 2. None of them appears in any v3 record's replaces list (126 replaces refs, all resolve to archived records).",major,"Confirm with the curriculum owner. If superseded, archive them with superseded_by pointing at the closest v3 book (e.g. the Teacher Guide / Activity Workbook), so favourites follow.",fixed (5 older Numenature books archived; approved 2026-09-25)
L-13,Favourites,src/pages/FinnipedLibrary.jsx:77-87 + src/lib/useFinnipedFavourites.js:28,"Favourites do follow a replaced book: the shelf walks superseded_by up to 5 hops, and every archived record except the test one has a valid superseded_by pointing at a published record. But the card on the shelf shows the replacement and checks isFav(replacement.resource_id), which is false. So the star shows empty, tapping it adds a second favourite, and the old favourite can never be removed from the UI. The tab count uses favourites.length (raw rows), not shelf.length.","Code read. superseded_by: 125 set, 0 dangling, 0 pointing to non-published. FinnipedFavourite query returned 0 rows (RLS is created_by_id, so the service query may only see its own), so no live orphan count was possible.",major,"When rendering the shelf, pass the original favourite id: treat isFav true if any favourite resolves to this resource, and remove that row on toggle. Optionally, migrate favourite rows to the successor's resource_id when the switch-over runs. Use shelf.length for the tab count.",fixed
L-15,Access control,FinnipedResource / FinnipedPlacement RLS,"Hiding drafts, archived books, proposed placements and safeguarding-gated books happens only in the browser. RLS read is {} on both entities, so any signed-in user (any role) can list every draft, archived and gated record and its file_url through the SDK.","list_entity_schemas: FinnipedResource rls.read={}, FinnipedPlacement rls.read={}. Code: FinnipedLibrary.jsx:63-68 filters client side.",major,"Add read RLS: status=='published' for non-admin roles (e.g. $or [{status:'published'},{user_condition:{role:'admin'}},{user_condition:{role:'super_admin'}}]). The same applies to placements with status 'published'. Gated content needs a staff-role condition.",open
L-20,UI / by-week,src/components/finniped/LibraryByWeek.jsx:20-27,"The 'By curriculum week' tab uses only linked_week_ids and ignores FinnipedPlacement. None of the 39 HeartWise hw1 books and 24 of 60 Numenature v3 books have linked_week_ids, so HeartWise is missing from this tab even though it has 720 placements with month and week.",jq: published Heartwise linked=false 39; Numenature linked=false 24.,major,"Build the by-week view from FinnipedPlacement (band + month + week_in_month → resource + page_from), and open the reader at page_from. Or run the week linker for hw1/v3.",open
R-05,RLS,"ParentNotification, SpecialTimeSession",ParentNotification: read {} and update {} mean anyone can read and edit any family's notifications. SpecialTimeSession: read {} means anyone can read every family's special-time logs.,ParentNotification.jsonc:94 read {} update {}; SpecialTimeSession.jsonc:34 read {},major,read/update: data.parent_user_id={{user.id}} (or created_by_id) plus admins.,open
R-06,RLS,"Classroom, School, ParentDashboardSnapshot, ParentSubscriptionPreference, SavedQuestion, ActivityCompletion, AIContentLog, Printable","None of these have RLS, so any user can write to them. School and Classroom can be created, edited or deleted by a parent or teacher. ParentDashboardSnapshot holds per-parent data and is readable by everyone.",grep -L rls base44/entities/* lists these files,major,"School/Classroom: write limited to admin, super_admin, and school_admin of the same school. ParentDashboardSnapshot/ParentSubscriptionPreference/SavedQuestion: read/write limited to the owner (parent_user_id / user_id / created_by_id) plus admins.",open
R-08,Route guard,"/classrooms, /age-groups","No role check. A parent, teacher or role=user can open /classrooms and use Add/Edit/Delete Classroom, and the Classroom entity has no RLS. The page also lists all Users.","src/App.jsx:251,253; src/pages/Classrooms.jsx:59,69 'Add Classroom' button not gated; ClassroomDialog.jsx:62-79 create/update/delete",major,"Add /classrooms and /age-groups to a staff-admin list (admin, super_admin, school_admin) in RoleRouteGuard, and add RLS to Classroom and AgeGroup.",fixed (Classroom edit now admins or school admin of that school)
R-09,Route guard,/enrollment,Page loads Child.list(1000) and shows every child to any role. Only the 'Enrol child' button is gated (canEnroll). Teachers and parents see all children in all schools.,"src/App.jsx:252; src/pages/Enrollment.jsx:27 canEnroll, :36 Child.list; filtering only applies when role==='school_admin' (:62,:88)",major,Guard the route for school_admin/admin/super_admin. Rely on Child RLS (R-01).,partly (parents and no-role blocked)
R-10,Route guard,"/admin/story-pdf-uploader, /admin/song-kit-uploader","Explicitly exempted from the admin guard as 'open to any authenticated user', so parents and role=user can open admin upload tools that write Printable/Song records.",src/components/layout/RoleRouteGuard.jsx:38-40 isOpenInternalTool; pages have no role check,major,"Remove the isOpenInternalTool exemption, or restrict it to staff roles.",fixed
R-11,Route guard,"/reports, /policies/*, /ai-assistant, /pro-studio, /settings, /daily-plan, /curriculum/*, /music, /knowledge-hub","Staff pages are reachable by parents and role=user by URL. /pro-studio has no role check and can update Song records (approve lyrics, change pro_tier). /ai-assistant lets any role run LLM generation. Reports and policies render for any role.","src/App.jsx:278,291,292,300,353; src/pages/ProStudio.jsx:74,92,112 Song.update with no role check; RoleRouteGuard prefix list does not include these",major,"In RoleRouteGuard, send role=parent to /parent for every AppShell route except '/' redirects. Add a STAFF_ONLY check (teacher, school_admin, admin, super_admin) for the rest, and an admin check for /pro-studio.",fixed
R-12,Route guard,AppShell / RoleRouteGuard (school_admin & teacher nav),"isAdminLike() accepts only super_admin and admin, so school_admin is redirected away from /schools, /users, /kasvunpolku/admin, /network, /curriculum-canvas, /bulk-generation and /admin/music-room, even though all of these are in schoolAdminNav. Teachers are redirected from /kasvunpolku/admin, which is in teacherNav and allowed by KasvunpolkuControl. These are broken nav links.","RoleRouteGuard.jsx:19-21 isAdminLike, :42 redirect; Sidebar.jsx:78-106 schoolAdminNav, :114 teacherNav includes /kasvunpolku/admin; KasvunpolkuControl.jsx:35 allows school_admin and teacher; UserManagement.jsx:32 canManage includes school_admin",major,"Replace the single prefix list with a per-prefix role map, e.g. {'/users':[admin,super_admin,school_admin], '/schools':[...,school_admin], '/kasvunpolku/admin':[...,school_admin,teacher], '/admin/':[admin,super_admin]}.",open
R-15,Roles,role='user' accounts,"4 of 12 users have role 'user'. The sidebar shows them teacherNav (default branch), and RLS 'create/update' lists include 'user', so unassigned accounts get teacher-level write access to child records.","query_entities User fields [role]: super_admin 2, teacher 3, parent 2, school_admin 1, user 4; Sidebar.jsx:157 default: teacherNav; e.g. ChildGrowthRecord.jsonc:53 create includes role user",major,Give role=user a minimal nav (no child data). Remove 'user' from child-data create/update RLS. Assign real roles to the 4 accounts.,partly (no-role accounts now only see the welcome page; RLS still lists user)
R-18,Backend functions,onParentMessageCreated,"Automation handler with no auth check. It trusts the request body (event, data) and uses asServiceRole to email teachers, school admins or linked parents, with an attacker-supplied sender_name and body. Anyone who invokes the function directly can send platform-branded emails to any child's parents (phishing).",base44/functions/onParentMessageCreated/entry.ts:12-28 reads data from req.json(); :87 asServiceRole.integrations.Core.SendEmail; no auth.me()/secret check,major,"At the top, reject unless the caller is the automation (check a shared secret header or that auth.me() is null/service). Re-load the ParentMessage by event.entity_id via asServiceRole instead of trusting the body.",open
R-19,Backend functions,"onActivityCompleted, onParentActivityCompletion, onParentMilestoneObserved, onSchoolCreatedClonePolicies","Automation handlers with no caller check that trust body data and write with asServiceRole. A forged call can create ChildMilestoneObservations and parent updates for arbitrary children, overwrite ParentDashboardSnapshots and ParentNotifications, and clone the whole policy suite for any school_id (duplicates).","functions/onActivityCompleted/entry.ts:17-153; onParentActivityCompletion/entry.ts:10-67; onParentMilestoneObserved/entry.ts:14-41; onSchoolCreatedClonePolicies/entry.ts:7-69 (no auth.me, no secret)",major,Same fix as R-18: verify the automation origin (secret) and re-read the entity by event.entity_id with the service role instead of using body.data.,open
R-21,Backend functions,generatePrintable,"auth.me() is optional (errors are swallowed and there is no 401). An anonymous or any-role caller can trigger LLM generation and PDF upload, and overwrite any Printable record via asServiceRole (cost abuse and content tampering).","functions/generatePrintable/entry.ts:37-45 'try { user = await base44.auth.me(); } catch (_) {}' then asServiceRole InvokeLLM :76, Printable.update :225",major,"Require an authenticated staff/admin user: if (!user || ![admin,super_admin,school_admin,teacher].includes(user.role)) return 403.",open
T-01,Dead button,KasvunpolkuControl > Sunday digest card,Button fires browser alert 'Coming soon — test digest to your inbox' instead of doing anything,src/components/kasvunpolku/control/SundayDigestCard.jsx:90,major,"Remove the button until a test-digest function exists; if kept, wire it to the digest function and show a toast 'Test digest sent to your inbox.'",fixed
T-02,Dead button,KasvunpolkuControl > Parent journey,'Send to unwelcomed' fires alert 'Coming soon — bulk welcome flow'. The label 'unwelcomed' is also unkind wording,src/components/kasvunpolku/control/ParentJourneySection.jsx:63,major,"Remove the primary action. If kept later, relabel 'Send welcome to families not yet welcomed'",fixed
T-03,Dead button,KasvunpolkuControl > Parent journey,'Send gentle re-engage' fires alert 'Coming soon — gentle re-engagement flow',src/components/kasvunpolku/control/ParentJourneySection.jsx:71,major,Remove the action until a real flow exists,fixed
T-04,Fake success,KasvunpolkuControl > Team progress table,Bell button shows alert 'Gentle reminder sent to {name}' but sends nothing. This tells the admin a message went when none did,src/components/kasvunpolku/control/TeamProgressTable.jsx:91,major,"Remove the bell button, or wire it to a real notification and confirm with a toast only after success",fixed
T-05,Placeholder,Child profile > Family tab,"Visible text 'Communication log coming soon. Family notes sent, replies received.'",src/components/children/ChildFamilyTab.jsx:85,major,Remove element (or replace with real ParentMessage list for this child),fixed
T-06,Placeholder / season word,Parent > This month,Empty state 'Milestones for this season are coming soon.' uses 'season' and 'coming soon',src/pages/parent/ParentThisMonth.jsx:103,major,'No milestones have been shared for this month yet.',fixed
