id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix
L-11,Data / covers,FinnipedResource schema + ResourceCard,"There are no cover or thumbnail fields and no cover images. Cards are text only (src/pages/FinnipedLibrary.jsx:226-269), so there were no image URLs to check and no image over 1 MB.",list_entity_schemas: no cover/thumbnail property. The 440 records have no such keys.,minor,"Optional: generate a page-1 thumbnail at import (pdfjs render, then UploadFile, stored as cover_url) and show it on the card. Keep it under ~150 KB (WebP)."
L-12,Data / cleanup,FinnipedResource 6ab566dac64b719620a698cc,"The test record 'ZZ schema test (delete me)' is archived, has no band or file_url, bundle_version 'test', and replaces ['x'], which points nowhere. It is the only archived record without superseded_by.","jq: the only dangling replaces ref out of 126, and the only archived record with no superseded_by out of 126.",minor,Delete the record.
L-13,Favourites,src/pages/FinnipedLibrary.jsx:77-87 + src/lib/useFinnipedFavourites.js:28,"Favourites do follow a replaced book: the shelf walks superseded_by up to 5 hops, and every archived record except the test one has a valid superseded_by pointing at a published record. But the card on the shelf shows the replacement and checks isFav(replacement.resource_id), which is false. So the star shows empty, tapping it adds a second favourite, and the old favourite can never be removed from the UI. The tab count uses favourites.length (raw rows), not shelf.length.","Code read. superseded_by: 125 set, 0 dangling, 0 pointing to non-published. FinnipedFavourite query returned 0 rows (RLS is created_by_id, so the service query may only see its own), so no live orphan count was possible.",major,"When rendering the shelf, pass the original favourite id: treat isFav true if any favourite resolves to this resource, and remove that row on toggle. Optionally, migrate favourite rows to the successor's resource_id when the switch-over runs. Use shelf.length for the tab count."
L-14,Favourites,src/pages/FinnipedLibrary.jsx:77-87,"The shelf ignores visibility rules. A favourite whose book is now draft, or has no successor, is still shown, and a missing book falls back to the denormalised favourite row with its old file_url. Gated books aren't filtered for non-staff there either.",Code read: shelf builds from favourites without applying the `visible` filter.,minor,Apply the same status and safeguarding checks to shelf items. Show a 'no longer available' state instead of a stale link.
L-15,Access control,FinnipedResource / FinnipedPlacement RLS,"Hiding drafts, archived books, proposed placements and safeguarding-gated books happens only in the browser. RLS read is {} on both entities, so any signed-in user (any role) can list every draft, archived and gated record and its file_url through the SDK.","list_entity_schemas: FinnipedResource rls.read={}, FinnipedPlacement rls.read={}. Code: FinnipedLibrary.jsx:63-68 filters client side.",major,"Add read RLS: status=='published' for non-admin roles (e.g. $or [{status:'published'},{user_condition:{role:'admin'}},{user_condition:{role:'super_admin'}}]). The same applies to placements with status 'published'. Gated content needs a staff-role condition."
L-16,UI / archived,src/pages/FinnipedLibrary.jsx:65-68,"Archived books are correctly hidden from non-admins (status!=='published' is dropped at line 65), and from admins in the default view (line 68). No issue here. Minor gap: nothing hides necessity='unnecessary' AND necessity_approved=true books from non-super-admins, as the schema describes (0 published records affected today).",Code read. Data: published with necessity unnecessary = 0.,minor,Add `if (r.necessity==='unnecessary' && r.necessity_approved && role!=='super_admin') return false;` to the visible filter.
L-17,Reader,"src/fws/components/FlipBook.jsx:201-210, 339-340","The contents list and the page jump only work in flip mode. go() returns early when pfRef is null, so in plain/fallback mode (books over 400 pages, or after a PDF.js error) contents clicks do nothing. The fallback iframe also gives no error message: status 'error' is set but never rendered, so a 403 file (L-01) shows a blank or XML page.",Code read. FlipBook.jsx:203 `if (!pf) return;`. status==='error' is not used in the JSX.,minor,"In plain mode, make go() update `current` (the iframe src already uses #page=current+1). Render an error state ('This book could not be opened – try Download / tell an admin') when both the PDF.js load and a HEAD check fail."
L-18,Reader,src/pages/FinnipedLibrary.jsx:263 + FlipBook.jsx:296,"The download buttons use `<a download>` on a cross-origin URL (base44.app redirecting to media.base44.com). Browsers ignore the download attribute cross-origin, so 'Download' just opens the PDF in the same tab and navigates away from the app.",Code read. The fetch shows a redirect to media.base44.com with no Content-Disposition header.,minor,"Fetch the file as a blob and save it with an object URL, or add target=_blank. The Print button already opens a new tab."
L-19,UI / empty-error,"src/pages/FinnipedLibrary.jsx:54-56, 151-155",A load error looks the same as an empty library. The catch sets resources to [] and the page shows 'Nothing matches'. The page also loads all 440 records with full contents arrays (about 800 KB JSON) on every visit.,"Code read. The query_entities full result was 804,471 chars.",minor,"Keep an error state with a retry button. Fetch published only for non-admins (filter({status:'published'})) and a slim field list, and load contents lazily in the reader."
L-20,UI / by-week,src/components/finniped/LibraryByWeek.jsx:20-27,"The 'By curriculum week' tab uses only linked_week_ids and ignores FinnipedPlacement. None of the 39 HeartWise hw1 books and 24 of 60 Numenature v3 books have linked_week_ids, so HeartWise is missing from this tab even though it has 720 placements with month and week.",jq: published Heartwise linked=false 39; Numenature linked=false 24.,major,"Build the by-week view from FinnipedPlacement (band + month + week_in_month → resource + page_from), and open the reader at page_from. Or run the week linker for hw1/v3."
L-21,Placements,FinnipedPlacement,"The placements are clean. There are 1,440 in total: 720 HeartWise (hw1) plus 720 Numenature (v3), 5 bands x (108 session_plan + 36 child_workbook) each. The count is double the expected 720 only because Numenature is included. There are no orphans: every resource_row_id and slug resolves to a published resource. None has a missing page, a page beyond the book or page_to<page_from, and there are no duplicate placement_ids or keys. Months 4, 8 and 12 have no placements (36 month-weeks per band).","query_entities x3 pages (500+500+440), jq joins against FinnipedResource.",minor,"No fix needed. Confirm that the empty months (April, August, December) are intended holiday months, and that the Daily Plan/week panel shows a 'holiday' note rather than an empty panel."
L-22,Files / infra,base44.app file proxy,"HEAD requests to base44.app/api/apps/.../files/... intermittently return 404 application/json instead of redirecting (1 of 182 on the first pass; 2 of 3 retries on the same URL), while GET always works. Link checkers and any HEAD-based pre-check will report false failures.","Node fetch: the same URL alternated HEAD 404 / 200 / 404; GET 200 application/pdf 356,433 bytes.",minor,Use GET with a Range: bytes=0-4 header for health checks. Report the flake to Base44 if HEAD is relied on.
L-23,Data / content,FinnipedResource 6a5106dde9224d0391334833,"'My First Heartwise Treasure Book' has 2 pages, while the other 7 My First Treasure Books have 5–6, so it may be incomplete.",jq: pages 2 vs 5-6.,minor,Check the PDF and re-upload the full book if pages are missing.
