id,area,page_or_entity,what_is_wrong,how_you_saw_it,severity,proposed_fix
T-38,US spelling,Parent notifications (en.json),'{child} practiced {milestone} today.' (verb should be practised),src/locales/en.json:15,Medium,'{child} practised {milestone} today.'
T-39,US spelling,Finniped library,"'Organize with AI', 'Organizing…', 'Library organized ✨', 'Couldn't finish organizing'","src/components/finniped/OrganizeLibraryButton.jsx:30,33,44",Low,"'Organise with AI', 'Organising…', 'Library organised', 'Couldn't finish organising'"
T-40,US spelling,Various,'toward' (British: 'towards') in visible copy,src/pages/kasvunpolku/MyChild.jsx:249; src/components/dashboard/WeatherCard.jsx:35; src/lib/languageGuard.js:33,Low,'towards'
T-41,US spelling,Festival banner,'acknowledgment',src/components/dashboard/FestivalBanner.jsx:12,Low,'acknowledgement'
T-42,US spelling,Voice catalogue labels,'voice catalog' in admin-visible text,"src/components/music/v2/VoiceCatalogEditor.jsx:95; src/components/music/story/StoryAlbumEditor.jsx:46,195; src/components/music/MusicProviderCard.jsx:288",Low,'voice catalogue'
T-43,US date format,Teacher dashboard and 9 other places,"Dates formatted US style 'EEEE, MMMM d, yyyy' / 'MMM d, yyyy' (e.g. 'Friday, September 25, 2026'); 10 occurrences","src/pages/TeacherDashboard.jsx:72; src/components/kasvunpolku/control/HeroHeader.jsx:25; src/pages/parent/ParentPhotoAlbum.jsx:161,181; src/pages/parent/ParentFirstMoments.jsx:105; src/components/kasvunpolku/parent/MilestoneDetailCard.jsx:113; src/components/kasvunpolku/summary/SummaryHero.jsx:37; src/pages/kasvunpolku/SharedCalendars.jsx:72; src/pages/parent/ParentCalendars.jsx:97; src/pages/training/MyReflections.jsx:191",Medium,Use 'EEEE d MMMM yyyy' and 'd MMM yyyy' (e.g. 'Friday 25 September 2026')
T-44,Child safety,Parent > SOS overlay,"SOS flow ('What's happening right now?', includes 'I lost it' and free-text 'Other') shows no emergency or helpline numbers. No 1990 (Suwa Seriya ambulance) or 1929 (NCPA child helpline) anywhere in src; no wrong numbers (110/911) found either",src/components/parent/hw/sos/SOSOverlay.jsx:81-131; grep of src for 1990|1929|911|110 finds none in UI,High,"Add a fixed footer to SOS and Find Your Way Back: 'If a child is hurt or in danger, call 1990 (Suwa Seriya ambulance). For child protection, call 1929 (National Child Protection Authority).'"
T-45,Content safety,Forest School page,Session 'Fire and Warmth (Pre-Primary Plus Only)' tagged 'Autumn / Winter'; fire activity for 5-6 year olds needs a safety review and the season tag does not fit Colombo,src/pages/ForestSchool.jsx:80-85,Medium,"Curriculum lead to review; retag to a Term, add supervision note"
T-46,Empty state,Evening curriculum home,No .catch on AgeGroup query (skeleton spins for ever on error) and no message when list is empty,"src/pages/curriculum/EveningCurriculumHome.jsx:34-37,81",Low,Add .catch and 'No evening age groups set up yet.'
T-47,Empty state,Children notes page,children.map renders an empty grid with no message when there are no children,src/pages/ChildrenNotes.jsx:54,Low,'No children in this room yet.'
T-48,Crash risk,Curriculum day page,"All .map calls on optional arrays checked (DailyPlan, CurriculumDay/Week, EveningDay/Week, ActivityCurriculum, KnowledgeHub, etc.) are guarded with ?.length > 0; no unguarded crash found",grep of '\.[a-z_]+\.map(' in src/pages (22 sites checked),Info,No change
T-49,Meta / SEO,index.html,<title>Polaricx</title> does not match finniped.com brand; no meta description; no Open Graph or Twitter tags; lang='en' not 'en-GB'; favicon is the Base44 logo (https://base44.com/logo_v2.svg); apple-mobile-web-app-title 'Polaricx',"index.html:2,5,11,12",Medium,"lang='en-GB'; title and description agreed with founder (e.g. 'Finniped' + one-line description); add og:title, og:description, og:image, og:url=https://finniped.com; own favicon"
T-50,Meta / PWA,public/manifest.json,PWA name/short_name 'Polaricx'; icons use an AI 'generated_image.png' for both 192 and 512 sizes,"public/manifest.json:2-3,12-22",Low,Confirm app name with founder; supply proper 192 and 512 icons
T-51,Email placeholders,Forms,"Input placeholders use example.com (school@example.com, parent@example.com, you@example.com). Acceptable as hints; no fake names found in visible text (no lorem, John Doe, Test User)",src/pages/Schools.jsx:108; src/pages/admin/ParentPlatformLaunch.jsx:127; src/pages/TrainingRegister.jsx:116; src/components/kasvunpolku/InviteParentDialog.jsx:101,Info,Optional: 'name@yourschool.lk'
T-52,Error message style,Policies,"Errors shown with browser alert() ('Create failed: ', 'Generation failed: ', 'Export failed: ', 'Save failed: ', 'Sign-off failed: ') exposing raw error text","src/pages/policies/NewPolicyDocumentPage.jsx:40; src/pages/policies/PolicyDocumentPage.jsx:94,97; src/components/policies/PolicyExportPanel.jsx:15-16,26-27; src/components/policies/PolicySectionEditor.jsx:77; src/components/policies/PolicySignoffButton.jsx:44; src/components/kasvunpolku/admin/MilestoneEditDialog.jsx:48",Low,Use toast: 'Could not save. Please try again.'
T-53,Greeting,Teacher dashboard,Greeting only 'Good morning' / 'Good afternoon' (evening teachers see 'Good afternoon' at night); also 'here is your learning journey today' after US date,"src/pages/TeacherDashboard.jsx:50,72",Low,Add 'Good evening' after 17:00
